DataSourceKey,DataSourceName,StoredProcedureName,DataSourceType,DatabaseName,ModuleGroup,ModuleName,InputCount,OutputCount,ReadRowLimit,GlobalAllow,SelfServiceable,Description,AddDate,UpdateDate
649,Parts_Picker_Simple2_Get (Part),Parts_Picker_Simple2_Get,Stored Procedure,Part,Engineering,Part List,2,6,1000,false,0,,2014-02-11T13:30:55.343Z,2015-09-04T18:07:53.003Z
947,Parts_Picker_With_Type_Get (Part),Parts_Picker_With_Type_Get,Stored Procedure,Part,Engineering,Part List,2,5,1000,false,0,,2014-02-24T15:14:38.753Z,2015-09-04T17:27:35.477Z
231575,Parts_Picker_With_Units_Get (Part),Parts_Picker_With_Units_Get,Stored Procedure,Part,Engineering,Part List,1,4,1000,true,1,,2019-08-09T18:42:47.89Z,
18032,Parts_POs_Not_Approved_Supplier_Get (Part),Parts_POs_Not_Approved_Supplier_Get,Stored Procedure,Part,,,1,6,1000,false,0,,2015-09-04T17:28:26.243Z,
27406,Parts_Purchased_No_Approved_Supplier_Get (Part),Parts_Purchased_No_Approved_Supplier_Get,Stored Procedure,Part,Engineering,Part List,6,18,1000,true,1,,2016-03-04T19:10:40.027Z,
14628,Parts_Related_Demand_Get (Part),Parts_Related_Demand_Get,Stored Procedure,Part,,,0,11,10000,false,0,,2015-08-05T16:47:58.257Z,2015-08-06T14:14:14.987Z
16648,Parts_Related_Get (Part),Parts_Related_Get,Stored Procedure,Part,,,4,27,1000,false,0,,2015-09-04T17:10:53.48Z,2024-09-27T14:01:51.317Z
232390,Parts_Related_Parts_PRP_Get (Part),Parts_Related_Parts_PRP_Get,Stored Procedure,Part,,,3,4,200000,false,0,,2020-01-08T13:16:50.837Z,2024-07-02T17:02:56.573Z
3367,Parts_Requirement_Plan_MRP_Demand_Get (Part),Parts_Requirement_Plan_MRP_Demand_Get,Stored Procedure,Part,Scheduling,Material Requirements Planning (MRP),8,14,500000,false,0,,2014-06-09T13:52:46.917Z,2015-09-04T20:18:03.98Z
22549,Parts_Requirement_Plan_MRP_Engine_Detail_Get (Part),Parts_Requirement_Plan_MRP_Engine_Detail_Get,Stored Procedure,Part,Scheduling,Material Requirements Planning (MRP),6,17,1000,false,0,,2015-09-04T18:30:27.19Z,2016-08-02T14:39:13.477Z
5260,Parts_Requirement_Plan_MRP_Engine_Get (Part),Parts_Requirement_Plan_MRP_Engine_Get,Stored Procedure,Part,Scheduling,Material Requirements Planning (MRP),0,0,500000,false,0,,2014-08-18T08:24:54.353Z,2015-04-30T13:50:54.207Z
19581,Parts_Requirement_Plan_MRP_Forecast_Demand_By_Time_Get (Part),Parts_Requirement_Plan_MRP_Forecast_Demand_By_Time_Get,Stored Procedure,Part,Scheduling,Material Requirements Planning (MRP),3,8,1000,false,0,,2015-09-04T17:57:19.773Z,
7012,Parts_Requirement_Plan_MRP_Parts_Demand_Get (Part),Parts_Requirement_Plan_MRP_Parts_Demand_Get,Stored Procedure,Part,Scheduling,Material Requirements Planning (MRP),0,36,500000,false,0,,2014-10-08T08:41:25.497Z,2015-06-04T22:03:57.283Z
5193,Parts_Requirement_Plan_MRP_Parts_Get (Part),Parts_Requirement_Plan_MRP_Parts_Get,Stored Procedure,Part,Scheduling,Material Requirements Planning (MRP),19,4,500000,false,0,,2014-08-15T10:52:40.237Z,2025-04-29T12:16:22.6Z
19251,Parts_Requirement_Plan_MRP_Shortage_Sheet_Crosstab_Generate (Part),Parts_Requirement_Plan_MRP_Shortage_Sheet_Crosstab_Generate,Stored Procedure,Part,Scheduling,Material Requirements Planning (MRP),7,1,1000,false,0,,2015-09-04T17:44:41.46Z,
17211,Parts_Requirement_Plan_MRP_Shortage_Sheet_Get (Part),Parts_Requirement_Plan_MRP_Shortage_Sheet_Get,Stored Procedure,Part,Scheduling,Material Requirements Planning (MRP),6,7,1000,false,0,,2015-09-04T17:15:24.607Z,2015-09-07T19:42:42.62Z
17868,Parts_Requirement_Plan_MRP_Shortage_Sheet_Supplemental_Get (Part),Parts_Requirement_Plan_MRP_Shortage_Sheet_Supplemental_Get,Stored Procedure,Part,Scheduling,Material Requirements Planning (MRP),3,11,1000,false,0,,2015-09-04T17:26:24.717Z,
19514,Parts_Requirement_Plan_MRP_Supplier_Worksheet_Get (Part),Parts_Requirement_Plan_MRP_Supplier_Worksheet_Get,Stored Procedure,Part,Scheduling,Material Requirements Planning (MRP),4,14,1000,false,0,,2015-09-04T17:54:58.877Z,2017-01-27T14:25:07.747Z
28504,Parts_Requirement_Plan_Worksheet_Get (Part),Parts_Requirement_Plan_Worksheet_Get,Stored Procedure,Part,,,3,29,100000,false,0,,2016-10-28T12:43:42.783Z,2016-10-28T17:17:45.917Z
19346,Parts_Requirement_Plan_Worksheet_Part_Picker_Get (Part),Parts_Requirement_Plan_Worksheet_Part_Picker_Get,Stored Procedure,Part,,,2,4,1000,false,0,,2015-09-04T17:52:32.513Z,
235241,Parts_Routing_Version_Active_Picker_Get (Part),Parts_Routing_Version_Active_Picker_Get,Stored Procedure,Part,,,4,8,1000,false,0,,2022-02-02T18:14:38.863Z,2022-02-03T12:14:27.267Z
235242,Parts_Routing_Version_Get_All (Part),Parts_Routing_Version_Get_All,Stored Procedure,Part,,,11,16,1000,false,0,,2022-02-02T18:21:23.017Z,2022-02-03T12:16:52.487Z
16238,Parts_Shippable_Picker_Get (Part),Parts_Shippable_Picker_Get,Stored Procedure,Part,,,3,5,1000,false,0,,2015-09-04T16:53:00.92Z,2015-09-04T16:54:10.983Z
2389,Parts_Standard_Picker_Get (Part),Parts_Standard_Picker_Get,Stored Procedure,Part,,,2,5,1000,false,0,,2014-04-28T17:14:56.803Z,2017-04-19T02:45:19.257Z
23205,Parts_Supplier_Parts_Picker_Get (Part),Parts_Supplier_Parts_Picker_Get,Stored Procedure,Part,,,3,10,1000,false,0,,2015-09-10T21:53:25.347Z,2015-09-10T21:54:39.623Z
19357,Parts_Supplier_Parts_Picker_Get2 (Part),Parts_Supplier_Parts_Picker_Get2,Stored Procedure,Part,,,3,10,1000,false,0,,2015-09-04T17:52:46.767Z,
28523,Parts_Supplier_Planning_Schedule_By_Building_Get (Part),Parts_Supplier_Planning_Schedule_By_Building_Get,Stored Procedure,Part,,,3,22,1000,false,0,,2016-11-14T18:40:51.31Z,2016-11-14T19:16:52.07Z
21073,Parts_Tooling_Cost_Get (Part),Parts_Tooling_Cost_Get,Stored Procedure,Part,,,4,4,1000,false,0,,2015-09-04T18:09:46.16Z,
28971,Parts_UPC_Picker_Get (Part),Parts_UPC_Picker_Get,Stored Procedure,Part,,,1,5,1000,false,0,,2017-06-12T18:39:44.223Z,
15377,Parts_VisionPLex_Get (Part),Parts_VisionPLex_Get,Stored Procedure,Part,Engineering,Part List,14,17,1000,true,1,,2015-09-04T16:39:33.523Z,2015-09-04T20:18:44.56Z
16992,Parts_With_Commodity_Code_Get (Part),Parts_With_Commodity_Code_Get,Stored Procedure,Part,Engineering,Part List,0,5,1000,false,0,,2015-09-04T17:13:58.69Z,
14030,Parts_With_Component_Part_Get (Part),Parts_With_Component_Part_Get,Stored Procedure,Part,Engineering,Part List,16,15,1000,false,0,,2015-06-04T10:14:39.677Z,2015-10-07T22:28:58.653Z
17516,Parts_With_No_Tool_Assemblies (Part),Parts_With_No_Tool_Assemblies,Stored Procedure,Part,,,2,8,1000,false,0,,2015-09-04T17:22:26.873Z,
17673,Parts_Without_Images_Get_QR (Part),Parts_Without_Images_Get_QR,Stored Procedure,Part,,,5,6,1000,false,0,,2015-09-04T17:24:07.473Z,2016-06-13T18:41:50.483Z
831,Parts_Work_Steps_Get (Part),Parts_Work_Steps_Get,Stored Procedure,Part,Engineering,Work Instructions,2,8,1000,false,0,,2014-02-20T17:39:50.197Z,2015-09-04T17:11:30.027Z
23128,PDI_Dashboard_Status_Summary_Get (Part),PDI_Dashboard_Status_Summary_Get,Stored Procedure,Part,,,3,2,1000,false,0,,2015-09-04T18:33:37.717Z,
23129,PDI_Report_Shipping_Status_Get (Part),PDI_Report_Shipping_Status_Get,Stored Procedure,Part,,,1,5,1000,false,0,,2015-09-04T18:33:37.807Z,
